group
North East Quadrant
Northwest Quadrant
Southwest Quadrant
Southeast Quadrant
Central Campus
Canyon
Amber Bridge
Front Lawn
North Lot
Old Dorm Block
Grove Dorms
Garden/Canyon/Farm houses
Language Houses
Cross Canyon dorms
Foster/Scholz/MacNaughton
Naito/Sullivan
GCC/SU
Eliot Hall
Science Buildings
Library
Greenwood
Health/Growing Seeds/Medical Offices
Sports Center
Bouncy Bridge
Veggie Houses
Gray Campus Center
Student Union
Medical Offices
Outside
Residence Hall
Campus
